timestamp_us,steer_us,throttle_us,speed_mps
6890266356,1509,1500,0.0000
6891266411,1509,1500,0.0000
6892266455,1509,1500,0.0000
6893266497,1509,1575,0.0000
6894266549,1509,1500,0.0000
6895266594,1509,1500,0.0000
6896266635,1509,1500,0.0000
6897266676,1509,1620,0.0000
6898266721,1509,1620,0.0000
6899266767,1509,1620,0.0000
6900266807,1509,1620,0.0000
6901266847,1509,1500,0.0000
6902266889,1509,1500,0.0000
6903266927,1509,1500,0.0000
6904266966,1509,1500,0.0000
6905267008,1509,1500,0.0000
6905617334,1509,1500,0.0027
6905830124,1509,1500,0.0000
6906267049,1509,1500,0.0000
6907267103,1509,1500,0.0000
6908267148,1509,1500,0.0000
6909267191,1509,1500,0.0000
6910267230,1509,1500,0.0000
6911267270,1509,1500,0.0000
6912126736,1509,1620,0.0209
6912267314,1509,1620,0.0209
6912330333,1509,1620,0.6687
6912455511,1509,1620,1.0875
6912555762,1509,1620,1.3579
6912640899,1509,1620,1.5990
6912717612,1509,1620,1.7746
6912788299,1509,1620,1.9259
6912856085,1509,1620,2.0083
6912920208,1509,1620,2.1230
6912982155,1509,1620,2.1976
6913040343,1509,1620,2.3396
6913097180,1509,1620,2.3952
6913152222,1509,1620,2.4733
6913206496,1509,1620,2.5083
6913258579,1509,1620,2.6138
6913267507,1509,1620,2.6138
6913310464,1509,1620,2.6238
6913359702,1509,1620,2.7648
6913409017,1509,1620,2.7605
6913456878,1509,1620,2.8444
6913504946,1509,1620,2.8321
6913551585,1509,1620,2.9189
6913598409,1509,1620,2.9074
6913643064,1509,1620,3.0486
6913688415,1509,1620,3.0018
6913732474,1509,1620,3.0898
6913776965,1509,1620,3.0598
6913820225,1509,1620,3.1469
6913863706,1509,1620,3.1309
6913905264,1509,1620,3.2758
6913947700,1509,1620,3.2080
6913989229,1509,1620,3.2781
6914031072,1509,1620,3.2535
6914072200,1509,1620,3.3100
6914113335,1509,1620,3.3095
6914153173,1509,1620,3.4172
6914193724,1509,1620,3.3571
6914233599,1509,1620,3.4141
6914267660,1509,1620,3.4141
6914273958,1509,1620,3.3731
6914313649,1509,1620,3.4299
6914353386,1509,1620,3.4259
6914392214,1509,1620,3.5061
6914431736,1509,1620,3.4446
6914470694,1509,1620,3.4944
6914510177,1509,1620,3.4480
6914549196,1509,1620,3.4890
6914588005,1509,1620,3.5078
6914626504,1509,1620,3.5361
6914665788,1509,1620,3.4654
6914704455,1509,1620,3.5207
6914743831,1509,1620,3.4573
6914782514,1509,1620,3.5193
6914821111,1509,1620,3.5271
6914859199,1509,1620,3.5742
6914898277,1509,1620,3.4837
6914936338,1509,1620,3.5768
6914975283,1509,1620,3.4956
6915013526,1509,1620,3.5598
6915051921,1509,1620,3.5457
6915089692,1509,1620,3.6042
6915128472,1509,1620,3.5105
6915166281,1509,1620,3.6006
6915204670,1509,1620,3.5462
6915242171,1509,1620,3.6302
6915267817,1509,1620,3.6302
6915280043,1509,1620,3.5946
6915317179,1509,1620,3.6659
6915355233,1509,1620,3.5774
6915392354,1509,1620,3.6673
6915430255,1509,1620,3.5919
6915467012,1509,1620,3.7037
6915503964,1509,1620,3.6841
6915540395,1509,1620,3.7368
6915577542,1509,1620,3.6648
6915613730,1509,1620,3.7619
6915650798,1509,1620,3.6726
6915686666,1509,1620,3.7955
6915723103,1509,1620,3.7362
6915759083,1509,1620,3.7836
6915795584,1509,1620,3.7296
6915831243,1509,1620,3.8177
6915867843,1509,1620,3.7196
6915903087,1509,1620,3.8627
6915939094,1509,1620,3.7808
6915974734,1509,1620,3.8197
6916010958,1509,1620,3.7582
6916046494,1509,1620,3.8309
6916082905,1509,1620,3.7389
6916118215,1509,1620,3.8554
6916154038,1509,1620,3.8002
6916189580,1509,1620,3.8303
6916225987,1509,1620,3.7393
6916261722,1509,1620,3.8096
6916267996,1509,1620,3.8096
6916298307,1509,1620,3.7211
6916333918,1509,1620,3.8229
6916370178,1509,1620,3.7544
6916406150,1509,1620,3.7845
6916442802,1509,1500,3.7143
6916484764,1509,1500,3.2443
6916527813,1509,1500,3.1623
6916569281,1509,1500,3.2829
6916613806,1509,1500,3.0575
6916661258,1509,1500,2.8689
6916713806,1509,1500,2.5907
6916770882,1509,1500,2.3852
6916836409,1509,1500,2.0776
6916912246,1509,1500,1.7951
6917009794,1509,1500,1.3956
6917184137,1509,1500,0.7808
6917268159,1509,1500,0.7808
6917432083,1509,1500,0.0000
6918242678,1509,1620,0.1286
6918268345,1509,1620,0.1286
6918395798,1509,1620,0.8891
6918506919,1509,1620,1.2251
6918597372,1509,1620,1.5050
6918678738,1509,1620,1.6731
6918753254,1509,1620,1.8269
6918823725,1509,1620,1.9318
6918889419,1509,1620,2.0723
6918952012,1509,1620,2.1749
6919010679,1509,1620,2.3205
6919068412,1509,1620,2.3580
6919123943,1509,1620,2.4515
6919178582,1509,1620,2.4915
6919230901,1509,1620,2.6020
6919268496,1509,1620,2.6020
6919282273,1509,1620,2.6500
6919331545,1509,1620,2.7629
6919381180,1509,1620,2.7427
6919429409,1509,1620,2.8227
6919477795,1509,1620,2.8135
6919524844,1509,1620,2.8935
6919571793,1509,1620,2.8997
6919617317,1509,1620,2.9904
6919663483,1509,1620,2.9488
6919708387,1509,1620,3.0317
6919753744,1509,1620,3.0014
6919797701,1509,1620,3.0970
6919841730,1509,1620,3.0920
6919884902,1509,1620,3.1533
6919928616,1509,1620,3.1142
6919971220,1509,1620,3.1954
6920014448,1509,1620,3.1492
6920056362,1509,1620,3.2480
6920098432,1509,1620,3.2359
6920139749,1509,1620,3.2949
6920181938,1509,1620,3.2268
6920222981,1509,1620,3.3169
