timestamp_us,axis,angle_from_vertical_deg,confidence,total_lines,vertical_lines,horizontal_lines,outlier_lines,vertical_mean_deg,horizontal_mean_deg,vertical_stddev_deg,horizontal_stddev_deg
1778588232627988,vertical,-1.257789,0.3486,41,15,26,0,-1.257789,-0.970119,1.414887,2.642635
1778588232662483,vertical,0.327526,0.3804,49,21,28,0,0.327526,-1.591002,3.369670,1.750853
1778588232696705,vertical,-0.338414,0.4705,42,22,20,0,-0.338414,-1.770545,3.051409,2.128076
1778588232735303,vertical,-1.031314,0.4300,50,23,27,0,-1.031314,-2.386691,1.954509,2.234250
1778588232768375,vertical,-0.157480,0.4138,39,18,21,0,-0.157480,-2.298893,3.103915,1.483410
1778588232808505,vertical,0.668778,0.3214,44,17,27,0,0.668778,-1.903719,5.047328,1.318809
1778588232844160,vertical,-0.244759,0.3810,45,19,26,0,-0.244759,-1.991955,2.931187,2.188977
1778588232884875,vertical,0.350996,0.4091,52,25,27,0,0.350996,-2.447240,4.474595,2.114851
1778588232922259,vertical,0.412931,0.4160,41,20,21,0,0.412931,-2.165815,4.418550,1.134372
1778588232961256,vertical,0.250152,0.4001,43,20,23,0,0.250152,-2.275739,4.193360,1.351164
1778588233000212,vertical,1.114701,0.4537,42,22,20,0,1.114701,-2.309027,4.016254,3.099070
1778588233036469,vertical,-0.891557,0.3340,39,16,23,0,-0.891557,-1.649675,5.575561,1.418603
1778588233080745,vertical,0.512194,0.4794,47,26,21,0,0.512194,-2.678590,3.999433,1.915879
1778588233122443,vertical,1.156634,0.3946,46,22,24,0,1.156634,-2.087225,5.247083,1.166687
1778588233162257,vertical,-0.365866,0.3560,46,19,27,0,-0.365866,-1.879757,4.139841,3.052083
1778588233195758,vertical,0.486404,0.3962,42,19,23,0,0.486404,-2.059304,3.727907,2.310750
1778588233229324,vertical,-1.015644,0.3608,36,14,22,0,-1.015644,-2.531808,2.164327,1.390749
1778588233272981,vertical,-1.900321,0.4231,45,21,24,0,-1.900321,-2.078999,2.798836,1.038404
1778588233315986,vertical,-0.233085,0.4322,41,19,22,0,-0.233085,-2.154673,2.019349,2.616618
1778588233350417,vertical,-0.275036,0.3134,38,13,25,0,-0.275036,-2.198644,2.517392,1.366022
1778588233386489,vertical,-0.641806,0.5000,45,24,21,0,-0.641806,-1.788769,1.875654,0.791326
1778588233425644,vertical,0.038253,0.4160,46,22,24,0,0.038253,-2.663780,3.903672,1.544265
1778588233461019,vertical,-0.713744,0.4751,44,22,22,0,-0.713744,-2.435146,1.493748,1.323122
1778588233491856,vertical,0.331090,0.4400,39,20,19,0,0.331090,-2.102997,4.257582,3.266853
1778588233538097,vertical,0.669754,0.3768,51,22,29,0,0.669754,-1.733704,3.796359,1.568864
1778588233580253,vertical,-0.821490,0.3832,45,19,26,0,-0.821490,-2.010519,2.773116,2.299619
1778588233616729,vertical,-0.379238,0.4230,50,24,26,0,-0.379238,-2.677577,3.564754,1.578733
1778588233654136,vertical,-0.385791,0.5039,44,24,20,0,-0.385791,-1.930436,2.287700,2.266834
1778588233693930,vertical,-1.477481,0.3700,45,18,27,0,-1.477481,-1.695045,2.246886,1.316088
1778588233732057,vertical,-1.460696,0.3693,39,16,23,0,-1.460696,-2.628110,2.993752,1.572274
1778588233766443,vertical,0.034475,0.4142,42,20,22,0,0.034475,-2.307458,3.904867,1.286853
1778588233807382,vertical,-1.023383,0.3323,47,19,28,0,-1.023383,-1.933716,5.341724,1.072254
1778588233840257,vertical,-0.226187,0.3947,40,18,22,0,-0.226187,-1.899022,3.688022,1.785655
1778588233880674,vertical,-0.426277,0.3801,44,18,26,0,-0.426277,-2.059983,2.127567,1.167311
1778588233915750,vertical,-1.165123,0.4861,41,21,20,0,-1.165123,-2.421892,1.530571,2.145271
1778588233948934,vertical,-0.503363,0.3791,44,18,26,0,-0.503363,-2.097764,2.195929,1.140064
1778588233989056,vertical,-0.095798,0.4038,45,20,25,0,-0.095798,-1.832500,2.745615,1.568342
1778588234030223,vertical,-0.168078,0.4143,42,20,22,0,-0.168078,-2.226185,3.899775,1.217161
1778588234073353,vertical,0.316189,0.4313,53,28,25,0,0.316189,-2.056256,5.505895,1.615895
1778588234109181,vertical,-0.334006,0.4048,46,21,25,0,-0.334006,-1.833850,3.400809,1.966803
1778588234146149,vertical,0.676243,0.4173,51,25,26,0,0.676243,-2.402212,4.463476,2.580351
1778588234183568,vertical,-1.184369,0.3061,44,14,30,0,-1.184369,-1.597278,1.142064,2.977211
1778588234219661,vertical,0.427225,0.4507,44,23,21,0,0.427225,-2.483470,4.133578,1.791516
1778588234255354,vertical,1.153064,0.4013,43,20,23,0,1.153064,-2.441382,4.114969,1.117710
1778588234298033,vertical,0.003581,0.3972,49,22,27,0,0.003581,-1.169087,3.459063,2.284444
1778588234337230,vertical,0.339197,0.4041,50,23,27,0,0.339197,-1.564342,3.647447,1.481941
1778588234373621,vertical,-0.497285,0.3976,38,17,21,0,-0.497285,-1.985411,3.334184,1.262068
1778588234411968,vertical,-0.801353,0.3565,44,18,26,0,-0.801353,-1.506626,3.856493,3.284125
1778588234452857,vertical,-0.234801,0.4024,43,19,24,0,-0.234801,-2.223897,2.682319,1.820692
1778588234489397,vertical,-0.212391,0.4344,44,21,23,0,-0.212391,-2.011155,2.694784,2.515661
1778588234527386,vertical,-0.127118,0.4608,39,20,19,0,-0.127118,-3.026020,3.042158,1.184758
1778588234568461,vertical,0.949812,0.3227,45,17,28,0,0.949812,-1.780594,4.372922,1.896052
1778588234606420,vertical,0.325849,0.4253,42,20,22,0,0.325849,-2.349719,3.204962,1.351481
1778588234646060,vertical,0.206669,0.4378,47,23,24,0,0.206669,-1.290974,3.159786,2.234796
1778588234686047,vertical,-0.979221,0.4017,45,23,22,0,-0.979221,-3.349812,6.421042,2.745191
1778588234725154,vertical,-0.290536,0.3825,44,19,25,0,-0.290536,-2.191396,3.425840,2.154899
1778588234765447,vertical,-1.188504,0.4179,42,19,23,0,-1.188504,-1.953630,2.284052,1.049497
1778588234797701,vertical,0.398963,0.4392,37,18,19,0,0.398963,-2.501373,2.915738,1.261146
1778588234832245,vertical,-1.147849,0.3060,44,15,29,0,-1.147849,-1.558171,3.067671,1.499785
1778588234865638,vertical,-1.014062,0.3299,43,16,27,0,-1.014062,-1.983653,3.402607,2.083309
1778588234901632,vertical,0.725275,0.3730,48,21,27,0,0.725275,-2.503539,4.424875,1.912987
1778588234940469,vertical,0.718850,0.4244,42,21,21,0,0.718850,-2.643326,4.533014,2.327052
1778588234980144,vertical,-0.138072,0.4135,41,19,22,0,-0.138072,-1.836150,3.233872,2.741825
1778588235018044,vertical,0.170316,0.4390,56,27,29,0,0.170316,-2.482674,2.685493,1.563784
1778588235062512,vertical,1.158170,0.4168,51,24,27,0,1.158170,-2.549147,3.427242,1.062560
1778588235096856,vertical,0.484625,0.4234,39,19,20,0,0.484625,-2.600675,3.929041,0.766580
1778588235130578,vertical,-0.619381,0.4411,46,22,24,0,-0.619381,-1.512961,2.331209,1.397077
1778588235167781,vertical,0.212777,0.4385,40,20,20,0,0.212777,-2.405923,3.690595,1.253371
1778588235210934,vertical,1.365022,0.4168,55,27,28,0,1.365022,-0.924142,4.529956,1.447120
1778588235249821,vertical,-0.512863,0.3800,51,21,30,0,-0.512863,-1.331555,2.314906,2.261912
1778588235287638,vertical,0.251811,0.4428,48,24,24,0,0.251811,-2.551191,3.429161,1.595210
1778588235323612,vertical,-0.818347,0.4515,45,22,23,0,-0.818347,-2.693352,2.292369,3.391544
1778588235361070,vertical,-0.243462,0.4297,40,19,21,0,-0.243462,-1.561362,2.860384,2.202771
1778588235403447,vertical,0.312377,0.3499,48,20,28,0,0.312377,-1.991974,4.807771,1.427395
