time_us,steer_ms,throttle_ms,speed_mps,setpoint_mps,error,kalman0,kalman1,kalman2,kalman3
4601695,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4701681,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4801683,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4901698,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5001710,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5101736,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5201748,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5301760,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5401783,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5501796,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5601817,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5701836,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5801848,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5901864,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6001878,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6101900,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6201918,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6301934,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6401958,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6501967,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6601992,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6702013,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6802026,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6902043,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7002054,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7102080,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7202095,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7302109,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7402131,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7502143,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7602166,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7702181,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7802199,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7902217,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8002234,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8102246,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8202268,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8302286,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8402310,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8502315,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8602342,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8702354,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8802366,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8902387,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9002401,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9102421,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9202440,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9302454,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9402473,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9502488,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9602510,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9702527,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9802538,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9902568,1500,1500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10002582,1500,2000,0.0000,10.0000,10.0000,0.0000,0.0000,0.0000,0.0000
10056419,1500,2000,5.2511,10.0000,9.8639,0.0000,0.0000,0.0000,0.0000
10070053,1500,2000,9.8778,10.0000,9.7277,0.0000,0.0000,0.0000,0.0000
10081566,1500,2000,11.8040,10.0000,9.5916,0.0000,0.0000,0.0000,0.0000
10091339,1500,2000,13.9312,10.0000,9.4555,0.0000,0.0000,0.0000,0.0000
10100490,1500,2000,14.8750,10.0000,9.3193,0.0000,0.0000,0.0000,0.0000
10108777,1500,2000,16.7675,10.0000,9.1832,0.0000,0.0000,0.0000,0.0000
10116592,1500,2000,17.1068,10.0000,9.0471,0.0000,0.0000,0.0000,0.0000
10123814,1500,2000,18.7955,10.0000,8.9109,0.0000,0.0000,0.0000,0.0000
10130995,1500,2000,18.9472,10.0000,8.7748,0.0000,0.0000,0.0000,0.0000
10137702,1500,2000,20.2915,10.0000,8.6386,0.0000,0.0000,0.0000,0.0000
10144411,1500,2000,20.2945,10.0000,8.5025,0.0000,0.0000,0.0000,0.0000
10150648,1500,2000,21.8271,10.0000,8.3664,0.0000,0.0000,0.0000,0.0000
10156931,1500,2000,21.6673,10.0000,8.2302,0.0000,0.0000,0.0000,0.0000
10162907,1500,2000,22.7728,10.0000,8.0941,0.0000,0.0000,0.0000,0.0000
10168910,1500,2000,22.6817,10.0000,7.9580,0.0000,0.0000,0.0000,0.0000
10174592,1500,2000,23.9549,10.0000,7.8218,0.0000,0.0000,0.0000,0.0000
10180420,1500,2000,23.3669,10.0000,7.6857,0.0000,0.0000,0.0000,0.0000
10185909,1500,2000,24.7925,10.0000,7.5496,0.0000,0.0000,0.0000,0.0000
10191483,1500,2000,24.4277,10.0000,7.4134,0.0000,0.0000,0.0000,0.0000
10196785,1500,2000,25.6811,10.0000,7.2773,0.0000,0.0000,0.0000,0.0000
10202225,1500,2000,25.0157,10.0000,7.1412,0.0000,0.0000,0.0000,0.0000
10207750,1500,2000,26.2304,10.0000,7.0050,0.0000,0.0000,0.0000,0.0000
10212831,1500,2000,25.7248,10.0000,6.8689,0.0000,0.0000,0.0000,0.0000
10217787,1500,2000,26.9202,10.0000,6.7327,0.0000,0.0000,0.0000,0.0000
10222941,1500,2000,26.3369,10.0000,6.5966,0.0000,0.0000,0.0000,0.0000
10227861,1500,1999,27.6418,10.0000,6.4605,0.0000,0.0000,0.0000,0.0000
10232964,1500,1989,26.6828,10.0000,6.3243,0.0000,0.0000,0.0000,0.0000
10237836,1500,1979,27.9310,10.0000,6.1882,0.0000,0.0000,0.0000,0.0000
10242831,1500,1969,27.2489,10.0000,6.0521,0.0000,0.0000,0.0000,0.0000
10247582,1500,1959,28.6601,10.0000,5.9159,0.0000,0.0000,0.0000,0.0000
10252470,1500,1949,27.9654,10.0000,5.7798,0.0000,0.0000,0.0000,0.0000
10257114,1500,1938,29.1949,10.0000,5.6437,0.0000,0.0000,0.0000,0.0000
10262007,1500,1928,27.8055,10.0000,5.5075,0.0000,0.0000,0.0000,0.0000
10266671,1500,1918,29.2011,10.0000,5.3714,0.0000,0.0000,0.0000,0.0000
10271440,1500,1908,28.5340,10.0000,5.2353,0.0000,0.0000,0.0000,0.0000
10276021,1500,1898,29.7369,10.0000,5.0991,0.0000,0.0000,0.0000,0.0000
10280707,1500,1888,29.0392,10.0000,4.9630,0.0000,0.0000,0.0000,0.0000
10285181,1500,1878,30.4350,10.0000,4.8268,0.0000,0.0000,0.0000,0.0000
10289837,1500,1868,29.2262,10.0000,4.6907,0.0000,0.0000,0.0000,0.0000
10294316,1500,1858,30.4010,10.0000,4.5546,0.0000,0.0000,0.0000,0.0000
10298968,1500,1848,29.2702,10.0000,4.4184,0.0000,0.0000,0.0000,0.0000
10303748,1500,1838,30.3062,10.0000,4.2823,0.0000,0.0000,0.0000,0.0000
10308301,1500,1827,29.6334,10.0000,4.1462,0.0000,0.0000,0.0000,0.0000
10312642,1500,1817,30.4895,10.0000,4.0100,0.0000,0.0000,0.0000,0.0000
10317169,1500,1807,29.4093,10.0000,3.8739,0.0000,0.0000,0.0000,0.0000
10321635,1500,1797,30.3739,10.0000,3.7378,0.0000,0.0000,0.0000,0.0000
10326262,1500,1787,29.3839,10.0000,3.6016,0.0000,0.0000,0.0000,0.0000
10330788,1500,1777,30.0852,10.0000,3.4655,0.0000,0.0000,0.0000,0.0000
10335439,1500,1767,29.2576,10.0000,3.3294,0.0000,0.0000,0.0000,0.0000
10340020,1500,1756,29.7175,10.0000,3.1932,0.0000,0.0000,0.0000,0.0000
10344734,1500,1746,28.8790,10.0000,3.0571,0.0000,0.0000,0.0000,0.0000
10349305,1500,1736,29.7955,10.0000,2.9209,0.0000,0.0000,0.0000,0.0000
10354026,1500,1726,28.8301,10.0000,2.7848,0.0000,0.0000,0.0000,0.0000
10358656,1500,1716,29.4030,10.0000,2.6487,0.0000,0.0000,0.0000,0.0000
10363378,1500,1706,28.8240,10.0000,2.5125,0.0000,0.0000,0.0000,0.0000
10368063,1500,1696,29.0640,10.0000,2.3764,0.0000,0.0000,0.0000,0.0000
10372914,1500,1685,28.0576,10.0000,2.2403,0.0000,0.0000,0.0000,0.0000
10377621,1500,1675,28.9281,10.0000,2.1041,0.0000,0.0000,0.0000,0.0000
10382486,1500,1665,27.9769,10.0000,1.9680,0.0000,0.0000,0.0000,0.0000
10387238,1500,1655,28.6541,10.0000,1.8319,0.0000,0.0000,0.0000,0.0000
10392169,1500,1645,27.6081,10.0000,1.6957,0.0000,0.0000,0.0000,0.0000
10396986,1500,1635,28.2615,10.0000,1.5596,0.0000,0.0000,0.0000,0.0000
10401948,1500,1624,27.4356,10.0000,1.4235,0.0000,0.0000,0.0000,0.0000
10407237,1500,1614,27.5467,10.0000,1.2873,0.0000,0.0000,0.0000,0.0000
10411995,1500,1604,27.3640,10.0000,1.1512,0.0000,0.0000,0.0000,0.0000
10416866,1500,1594,27.3420,10.0000,1.0150,0.0000,0.0000,0.0000,0.0000
10421945,1500,1584,26.7195,10.0000,0.8789,0.0000,0.0000,0.0000,0.0000
10426956,1500,1574,27.1403,10.0000,0.7428,0.0000,0.0000,0.0000,0.0000
10432115,1500,1563,26.3880,10.0000,0.6066,0.0000,0.0000,0.0000,0.0000
10437235,1500,1553,26.5838,10.0000,0.4705,0.0000,0.0000,0.0000,0.0000
10442468,1500,1543,26.0198,10.0000,0.3344,0.0000,0.0000,0.0000,0.0000
10447637,1500,1533,26.3369,10.0000,0.1982,0.0000,0.0000,0.0000,0.0000
10452926,1500,1523,25.7297,10.0000,0.0621,0.0000,0.0000,0.0000,0.0000
10458201,1500,1512,25.8224,10.0000,-0.0740,0.0000,0.0000,0.0000,0.0000
10463561,1500,1502,25.3842,10.0000,-0.2102,0.0000,0.0000,0.0000,0.0000
10468923,1500,1500,25.3937,10.0000,-0.3463,0.0000,0.0000,0.0000,0.0000
10474376,1500,1500,24.9607,10.0000,-0.4825,0.0000,0.0000,0.0000,0.0000
10479812,1500,1500,25.0526,10.0000,-0.6186,0.0000,0.0000,0.0000,0.0000
10485396,1500,1500,24.3665,10.0000,-0.7547,0.0000,0.0000,0.0000,0.0000
10490929,1500,1500,24.6132,10.0000,-0.8909,0.0000,0.0000,0.0000,0.0000
10496565,1500,1500,24.1547,10.0000,-1.0270,0.0000,0.0000,0.0000,0.0000
10502219,1500,1500,24.1590,10.0000,-1.1631,0.0000,0.0000,0.0000,0.0000
10508315,1500,1500,23.6470,10.0000,-1.2993,0.0000,0.0000,0.0000,0.0000
10513786,1500,1500,23.8793,10.0000,-1.4354,0.0000,0.0000,0.0000,0.0000
10519558,1500,1500,23.1681,10.0000,-1.5715,0.0000,0.0000,0.0000,0.0000
10525334,1500,1500,23.4960,10.0000,-1.7077,0.0000,0.0000,0.0000,0.0000
10531269,1500,1500,22.9185,10.0000,-1.8438,0.0000,0.0000,0.0000,0.0000
10537157,1500,1500,23.1130,10.0000,-1.9799,0.0000,0.0000,0.0000,0.0000
10543240,1500,1500,22.3871,10.0000,-2.1161,0.0000,0.0000,0.0000,0.0000
10549245,1500,1500,22.6704,10.0000,-2.2522,0.0000,0.0000,0.0000,0.0000
10555455,1500,1500,21.9185,10.0000,-2.3884,0.0000,0.0000,0.0000,0.0000
10561573,1500,1500,22.2480,10.0000,-2.5245,0.0000,0.0000,0.0000,0.0000
10567855,1500,1500,21.6777,10.0000,-2.6606,0.0000,0.0000,0.0000,0.0000
10574073,1500,1500,21.8938,10.0000,-2.7968,0.0000,0.0000,0.0000,0.0000
10580505,1500,1500,21.1588,10.0000,-2.9329,0.0000,0.0000,0.0000,0.0000
10586884,1500,1500,21.3513,10.0000,-3.0690,0.0000,0.0000,0.0000,0.0000
10593441,1500,1500,20.7524,10.0000,-3.2052,0.0000,0.0000,0.0000,0.0000
10599906,1500,1500,21.0639,10.0000,-3.3413,0.0000,0.0000,0.0000,0.0000
10606958,1500,1500,20.2764,10.0000,-3.4774,0.0000,0.0000,0.0000,0.0000
10613418,1500,1500,20.4071,10.0000,-3.6136,0.0000,0.0000,0.0000,0.0000
