Timestamp_ms,Voltage_mV,Current_mA,Power_mW
7,288.75,0.00,0.00
108,471.25,1.25,0.00
209,50.00,-1.25,0.00
310,0.00,-1.25,0.00
411,0.00,-1.25,0.00
512,0.00,0.00,0.00
613,0.00,-1.25,0.00
714,0.00,-1.25,0.00
815,0.00,-1.25,0.00
916,0.00,-1.25,0.00
1017,0.00,-1.25,0.00
1118,0.00,0.00,0.00
1219,0.00,0.00,0.00
1320,0.00,0.00,0.00
1421,115.00,2.50,0.00
1522,561.25,0.00,0.00
1623,815.00,1.25,0.00
1724,755.00,-1.25,0.00
1825,791.25,0.00,0.00
1926,1812.50,-145.00,260.00
2027,1403.75,-137.50,190.00
2128,1573.75,-141.25,120.00
2229,1081.25,-137.50,80.00
2330,617.50,-140.00,90.00
2431,566.25,-140.00,80.00
2532,531.25,-136.25,90.00
2633,603.75,-143.75,100.00
2734,1483.75,-9898.75,13990.00
2835,1226.25,-7668.75,9410.00
2936,1258.75,-6097.50,8050.00
3037,1326.25,-5077.50,6910.00
3138,1355.00,-4575.00,5530.00
3239,1370.00,-4228.75,5800.00
3340,1905.00,-3691.25,7030.00
3441,1650.00,-4025.00,9320.00
3542,2151.25,-3621.25,6980.00
3643,2442.50,-3261.25,8600.00
3744,2427.50,-3268.75,7940.00
3845,2397.50,-3013.75,6080.00
3946,1786.25,-1.25,0.00
4047,282.50,-1.25,0.00
4148,0.00,-1.25,0.00
4249,0.00,-1.25,0.00
4350,0.00,0.00,0.00
4451,0.00,-1.25,0.00
4552,0.00,-1.25,0.00
4653,0.00,0.00,0.00
4754,0.00,0.00,0.00
4855,0.00,0.00,0.00
4956,0.00,0.00,0.00
5057,1206.25,-8403.75,10640.00
5158,1318.75,-6880.00,12330.00
5259,1535.00,-4958.75,8170.00
5360,620.00,0.00,0.00
5461,411.25,0.00,0.00
5562,736.25,-2.50,0.00
5663,785.00,1.25,0.00
5764,605.00,-1.25,0.00
5865,738.75,0.00,0.00
5966,2223.75,-7066.25,10470.00
