Timestamp_ms,Voltage_mV,Current_mA,Power_mW
7,2352.50,1.25,0.00
108,2551.25,-3.75,10.00
209,2050.00,-5.00,10.00
310,2112.50,-5.00,10.00
411,2068.75,-3.75,10.00
512,2197.50,-3.75,10.00
613,2250.00,-2.50,10.00
714,2332.50,0.00,0.00
815,2320.00,-1.25,0.00
916,2368.75,-1.25,0.00
1017,2411.25,-1.25,0.00
1118,2880.00,1.25,0.00
1219,2700.00,0.00,0.00
1320,3213.75,1.25,0.00
1421,3437.50,-2.50,10.00
1522,3298.75,-1.25,0.00
1623,3381.25,5.00,10.00
1724,2961.25,-2.50,0.00
1825,2383.75,-2.50,0.00
1926,2008.75,-5.00,10.00
2027,2075.00,-5.00,10.00
2128,2102.50,-3.75,10.00
2229,2218.75,0.00,10.00
2330,2295.00,-2.50,0.00
2431,2272.50,0.00,0.00
2532,2312.50,2.50,0.00
2633,2396.25,0.00,0.00
2734,2453.75,3.75,10.00
2835,2411.25,3.75,10.00
2936,2830.00,-2.50,10.00
3037,3290.00,-2.50,10.00
3138,3446.25,-5.00,10.00
3239,3433.75,-1.25,0.00
3340,3318.75,1.25,0.00
3441,2840.00,0.00,30.00
3542,2251.25,2.50,0.00
3643,2417.50,-5.00,10.00
3744,617.50,-16757.50,10660.00
3845,1165.00,-12026.25,14340.00
3946,1247.50,-8967.50,11190.00
4047,1228.75,-7355.00,9020.00
4148,2625.00,911.25,2420.00
4249,2627.50,595.00,1720.00
4350,2671.25,457.50,1220.00
4451,105.00,-5.00,0.00
4552,430.00,-2.50,0.00
4653,503.75,-2.50,0.00
4754,771.25,-3.75,0.00
4855,1852.50,4046.25,8440.00
4956,2408.75,9861.25,21530.00
5057,2301.25,9282.50,21630.00
5158,1691.25,7231.25,12220.00
5259,1758.75,5931.25,5960.00
5360,1118.75,5117.50,3940.00
5461,728.75,5573.75,4150.00
5562,792.50,5233.75,4150.00
5663,736.25,4773.75,3900.00
5764,795.00,4176.25,3660.00
5865,885.00,4468.75,4120.00
5966,916.25,4552.50,4170.00
6067,457.50,4868.75,2180.00
6168,0.00,4285.00,840.00
6269,0.00,4307.50,140.00
6370,1336.25,-6.25,10.00
6471,1363.75,-2.50,0.00
6572,1711.25,-2.50,0.00
6673,1473.75,-2.50,0.00
6774,718.75,-3.75,0.00
6875,792.50,-5.00,0.00
6976,267.50,-2.50,0.00
7077,0.00,-3.75,0.00
7178,0.00,-2.50,0.00
7279,0.00,-5.00,0.00
7380,0.00,-3.75,0.00
7481,0.00,-3.75,0.00
7582,0.00,-2.50,0.00
7683,0.00,-3.75,0.00
7784,0.00,-2.50,0.00
7885,0.00,-2.50,0.00
7986,126.25,-2.50,0.00
8087,3.75,-2.50,0.00
8188,456.25,-2.50,0.00
8289,708.75,-2.50,0.00
8390,671.25,-5.00,0.00
8491,698.75,-1.25,0.00
8592,4962.50,-5.00,30.00
8693,2325.00,-3.75,0.00
8794,0.00,-3.75,0.00
8895,0.00,-3.75,0.00
8996,1637.50,-15645.00,24050.00
