Timestamp_ms,Voltage_mV,Current_mA,Power_mW
7,0.00,-2.50,0.00
108,0.00,-2.50,0.00
209,0.00,-2.50,0.00
310,0.00,-2.50,0.00
411,0.00,-3.75,0.00
512,0.00,-1.25,0.00
613,100.00,-2.50,0.00
714,556.25,-2.50,0.00
815,833.75,-2.50,0.00
916,748.75,-2.50,0.00
1017,841.25,-3.75,0.00
1118,633.75,-2.50,0.00
1219,146.25,-2.50,0.00
1320,288.75,-3.75,0.00
1421,0.00,-3.75,0.00
1522,0.00,-5.00,0.00
1623,0.00,-2.50,0.00
1724,0.00,-2.50,0.00
1825,0.00,-5.00,0.00
1926,0.00,-2.50,0.00
2027,0.00,-1.25,0.00
2128,0.00,-1.25,0.00
2229,0.00,-2.50,0.00
2330,0.00,-2.50,0.00
2431,272.50,-2.50,0.00
2532,62.50,-2.50,0.00
2633,568.75,-3.75,0.00
2734,790.00,-3.75,0.00
2835,763.75,-5.00,0.00
2936,820.00,-3.75,0.00
3037,597.50,-2.50,0.00
3138,141.25,-3.75,0.00
3239,0.00,-2.50,0.00
3340,0.00,-3.75,0.00
3441,0.00,-3.75,0.00
3542,0.00,-2.50,0.00
3643,0.00,-2.50,0.00
3744,0.00,-3.75,0.00
3845,0.00,-2.50,0.00
3946,0.00,-2.50,0.00
4047,0.00,-2.50,0.00
4148,0.00,-2.50,0.00
4249,0.00,-1.25,0.00
4350,292.50,-3.75,0.00
4451,685.00,-3.75,0.00
4552,582.50,-1.25,0.00
4653,825.00,-1.25,0.00
4754,761.25,-2.50,0.00
4855,401.25,-2.50,0.00
4956,567.50,-1.25,0.00
5057,81.25,-2.50,0.00
5158,0.00,-2.50,0.00
5259,0.00,-2.50,0.00
5360,0.00,-5.00,0.00
5461,0.00,-1.25,0.00
5562,0.00,-2.50,0.00
5663,0.00,0.00,0.00
5764,0.00,-2.50,0.00
5865,0.00,-2.50,0.00
5966,0.00,-1.25,0.00
6067,22.50,-2.50,0.00
6168,0.00,-2.50,0.00
6269,221.25,-3.75,0.00
6370,478.75,-3.75,0.00
6471,612.50,-2.50,0.00
6572,595.00,-2.50,0.00
6673,596.25,-2.50,0.00
6774,353.75,-3.75,0.00
6875,0.00,-2.50,0.00
6976,121.25,-3.75,0.00
7077,0.00,-2.50,0.00
7178,430.00,13680.00,5880.00
7279,0.00,10337.50,360.00
7380,0.00,8176.25,690.00
7481,0.00,6977.50,320.00
7582,0.00,5956.25,400.00
7683,0.00,5200.00,190.00
7784,0.00,4966.25,240.00
7885,0.00,4580.00,1080.00
7986,87.50,4330.00,370.00
8087,596.25,4318.75,2570.00
8188,462.50,4140.00,4610.00
8289,988.75,4056.25,5040.00
8390,1258.75,4132.50,5090.00
8491,1123.75,4268.75,4800.00
8592,1231.25,3982.50,2880.00
8693,782.50,3930.00,90.00
8794,295.00,3867.50,1150.00
8895,0.00,4125.00,640.00
8996,0.00,3985.00,630.00
9097,0.00,3912.50,440.00
9198,0.00,3686.25,500.00
9299,0.00,3971.25,460.00
9400,0.00,3921.25,440.00
9501,0.00,3983.75,280.00
9602,0.00,3937.50,270.00
9703,0.00,3971.25,150.00
9804,0.00,3876.25,1500.00
9905,163.75,4098.75,3840.00
10006,772.50,3817.50,2890.00
10107,1218.75,3832.50,4670.00
10208,1097.50,3970.00,4860.00
10309,1243.75,4065.00,3510.00
10410,1047.50,3870.00,3930.00
10511,541.25,3658.75,1980.00
10612,737.50,3970.00,280.00
10713,118.75,3961.25,700.00
10814,0.00,3818.75,730.00
10915,0.00,3768.75,460.00
11016,0.00,3798.75,500.00
11117,0.00,3816.25,270.00
11218,0.00,4082.50,520.00
11319,0.00,3656.25,270.00
11420,0.00,3985.00,240.00
11521,0.00,3790.00,670.00
11622,0.00,3993.75,60.00
11723,611.25,3863.75,2370.00
11824,371.25,3803.75,4070.00
11925,923.75,4070.00,4920.00
12026,1231.25,3961.25,5120.00
12127,1181.25,3871.25,4570.00
12228,1260.00,3760.00,2880.00
12329,852.50,4048.75,540.00
12430,293.75,3971.25,1160.00
12531,0.00,3831.25,520.00
12632,0.00,3678.75,490.00
12733,0.00,3931.25,400.00
12834,0.00,4177.50,510.00
12935,0.00,3672.50,330.00
13036,0.00,3692.50,370.00
13137,0.00,4106.25,350.00
13238,0.00,4177.50,410.00
13339,0.00,3828.75,170.00
13440,0.00,3803.75,1550.00
13541,137.50,3857.50,3580.00
13642,756.25,4022.50,3050.00
13743,1172.50,4010.00,4700.00
13844,1098.75,4022.50,4810.00
13945,1237.50,4040.00,3350.00
14046,1032.50,3878.75,3920.00
14147,510.00,3887.50,1980.00
14248,688.75,4018.75,270.00
14349,103.75,3956.25,610.00
14450,0.00,4022.50,740.00
14551,0.00,4045.00,650.00
14652,0.00,3723.75,330.00
14753,0.00,3941.25,490.00
14854,0.00,3815.00,350.00
14955,0.00,3865.00,410.00
15056,0.00,3936.25,360.00
15157,0.00,3871.25,780.00
15258,46.25,3662.50,170.00
15359,612.50,4055.00,2480.00
15460,423.75,4176.25,4470.00
15561,992.50,3851.25,4880.00
15662,1273.75,3811.25,5120.00
15763,1137.50,3880.00,4420.00
15864,1188.75,3913.75,2710.00
15965,796.25,4033.75,260.00
16066,281.25,3835.00,1090.00
16167,0.00,3817.50,610.00
16268,0.00,3847.50,540.00
16369,0.00,3815.00,490.00
16470,0.00,3956.25,590.00
16571,0.00,3965.00,460.00
16672,0.00,3998.75,440.00
16773,0.00,3945.00,380.00
16874,0.00,3927.50,370.00
16975,0.00,3916.25,230.00
17076,0.00,4025.00,1890.00
17177,210.00,4045.00,3880.00
17278,825.00,4138.75,3250.00
17379,1187.50,3777.50,4480.00
17480,1131.25,3811.25,4710.00
17581,1251.25,3802.50,3200.00
17682,970.00,3803.75,3890.00
17783,471.25,3656.25,1730.00
17884,631.25,4137.50,280.00
17985,55.00,4001.25,740.00
18086,0.00,3976.25,640.00
18187,0.00,4032.50,610.00
18288,0.00,3810.00,510.00
18389,0.00,3727.50,260.00
18490,0.00,3896.25,360.00
18591,0.00,3830.00,270.00
18692,0.00,3905.00,190.00
18793,0.00,4032.50,1000.00
18894,40.00,3962.50,150.00
18995,651.25,3896.25,2530.00
19096,463.75,3967.50,4470.00
19197,975.00,3952.50,4810.00
19298,1213.75,4121.25,4880.00
19399,1110.00,4043.75,4490.00
19500,1208.75,3740.00,2460.00
19601,806.25,3971.25,200.00
19702,233.75,3653.75,910.00
19803,0.00,3851.25,680.00
19904,0.00,3843.75,600.00
20005,0.00,4005.00,500.00
20106,0.00,3795.00,380.00
20207,0.00,3855.00,360.00
20308,0.00,3788.75,360.00
20409,0.00,3971.25,320.00
20510,0.00,4007.50,320.00
20611,0.00,3788.75,190.00
20712,0.00,3911.25,1790.00
20813,222.50,3962.50,3840.00
20914,820.00,3855.00,3200.00
21015,1205.00,3923.75,4720.00
21116,1101.25,3806.25,4650.00
21217,2068.75,2795.00,4380.00
21318,1772.50,3046.25,5220.00
21419,1270.00,3215.00,4080.00
21520,1476.25,3127.50,2390.00
21621,913.75,3472.50,2460.00
21722,675.00,3381.25,2270.00
21823,737.50,3555.00,2620.00
21924,736.25,3416.25,2910.00
22025,816.25,3472.50,3110.00
22126,863.75,3650.00,3150.00
22227,920.00,3442.50,3160.00
22328,891.25,3573.75,3320.00
22429,941.25,3513.75,4080.00
22530,1066.25,3298.75,3550.00
22631,1623.75,3567.50,5800.00
22732,1463.75,3581.25,7420.00
22833,1908.75,3525.00,7600.00
22934,2188.75,3442.50,7690.00
23035,2060.00,3587.50,7390.00
23136,2156.25,3430.00,5500.00
23237,1745.00,3538.75,3530.00
23338,1168.75,3690.00,4190.00
23439,745.00,3661.25,2730.00
23540,838.75,3436.25,2480.00
23641,728.75,3502.50,2840.00
23742,785.00,3597.50,2790.00
23843,881.25,3641.25,3210.00
23944,861.25,3378.75,3230.00
24045,951.25,3645.00,3610.00
24146,953.75,3723.75,3560.00
24247,1021.25,3668.75,3750.00
24348,1008.75,3543.75,4760.00
